,Nature mutation,Valeur fonciere,Type de voie,Code postal,Commune,Code departement,Code commune,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain,month,year,Prix m2 moyen region,Prix m2 moyen commune,latitude,longitude
1928460,Vente,140000.0,AV,93800.0,EPINAY SUR SEINE,93,31,2,2.0,Appartement,61.0,3.0,0,0.0,4,2021,4299.583526849284,3305.8113734771377,48.9550132062,2.31453043231
1086914,Vente,90000.0,AV,13011.0,MARSEILLE 11EME,13,211,2,2.0,Appartement,72.0,4.0,0,0.0,1,2020,3067.933841152668,3053.535779491709,43.2884471881,5.48381466229
577651,Vente,80000.0,RUE,18000.0,BOURGES,18,33,1,2.0,Appartement,96.0,5.0,0,0.0,3,2019,1094.4539937441978,1497.770714836833,47.0749572013,2.40417137557
1077115,Vente,287930.0,RUE,11100.0,NARBONNE,11,262,0,1.0,Maison,96.0,5.0,1,479.0,11,2020,1616.944898180507,2031.965447900465,43.1652399898,3.02023868739
1239811,Vente,100000.0,RUE,42160.0,ANDREZIEUX-BOUTHEON,42,5,2,2.0,Appartement,87.0,5.0,0,0.0,5,2020,1489.3747475130892,1913.5838975986733,45.5349913099,4.27650426979
1357794,Vente,144800.0,RUE,63570.0,BRASSAC-LES-MINES,63,50,0,1.0,Maison,107.0,6.0,1,725.0,2,2020,1677.540675257258,1143.9673839712366,45.4199156591,3.32061008295
1713771,Vente,110000.0,RUE,44800.0,ST-HERBLAIN,44,162,2,2.0,Appartement,89.0,4.0,0,0.0,2,2021,3057.976613970435,3245.8614724704707,47.2243762412,-1.63434818692
1639100,Vente,312125.0,CITE,29217.0,PLOUGONVELIN,29,190,0,1.0,Maison,112.0,7.0,1,736.0,9,2021,1895.38258333154,2830.1880215499173,48.3513274854,-4.71760872698
413508,Vente,75000.0,RUE,85600.0,TREIZE-SEPTIERS,85,295,0,1.0,Maison,51.0,3.0,1,288.0,9,2018,1953.329457617189,1421.1706171565852,46.9975586143,-1.23193361154
783743,Vente,182000.0,RUE,58640.0,VARENNES-VAUZELLES,58,303,0,1.0,Maison,138.0,5.0,1,686.0,11,2019,913.4265243217716,1333.6119744258813,47.0372879565,3.14354311851
225080,Vente,176350.0,RTE,47110.0,ALLEZ-ET-CAZENEUVE,47,6,0,1.0,Maison,107.0,4.0,1,1230.0,10,2018,1199.8115488598687,1648.1308411214952,44.3819408307,0.628501205807
1197572,Vente,185000.0,CHE,34300.0,AGDE,34,3,0,1.0,Maison,48.0,3.0,1,293.0,3,2020,2604.6969799701315,2722.0012389807125,43.309129116,3.48447903133
252812,Vente,127000.0,RUE,56000.0,VANNES,56,260,2,2.0,Appartement,67.0,4.0,0,0.0,6,2018,1958.1929763389453,2551.451818499223,47.6597493766,-2.75714329498
380629,Vente,214470.0,RUE,78100.0,SAINT-GERMAIN-EN-LAYE,78,551,2,2.0,Appartement,66.0,4.0,0,0.0,6,2018,3577.6967096557737,5144.49861381929,48.9407041394,2.09870929375
792647,Vente,315000.0,RUE,59112.0,CARNIN,59,133,0,1.0,Maison,105.0,4.0,1,919.0,8,2019,1878.2179066985084,2248.363668489784,50.5196965937,2.96024467267
857910,Vente,300000.0,RUE,69003.0,LYON 3EME,69,383,3,2.0,Appartement,63.0,2.0,0,0.0,10,2019,3264.717584975805,4217.375096925628,45.7533552486,4.86918522013
1394235,Vente,185000.0,CHE,73470.0,NOVALAISE,73,191,0,1.0,Maison,52.0,3.0,1,323.0,5,2020,3209.548090111913,2415.282896834776,45.5883066651,5.77193430721
740308,Vente,5000.0,RUE,46200.0,SOUILLAC,46,309,0,3.0,Dépendance,0.0,0.0,1,121.0,1,2019,1322.4464214386046,1222.604736609068,44.9069531608,1.46396482842
245254,Vente,98000.0,PL,54700.0,PONT A MOUSSON,54,431,1,2.0,Appartement,88.0,4.0,0,0.0,2,2018,1552.8207867135216,1484.275885400998,48.9219828048,6.05392690748
452922,Vente,95000.0,AV,93350.0,LE BOURGET,93,13,2,2.0,Appartement,33.0,2.0,0,0.0,8,2018,3707.340632937853,2971.887700170455,48.9361847458,2.42827855593
124896,Vente,209950.0,RUE,30300.0,BEAUCAIRE,30,32,0,1.0,Maison,88.0,4.0,1,224.0,6,2018,2051.3576256639235,1515.458515311899,43.7797429509,4.59380296865
436848,Vente,273000.0,RUE,91300.0,MASSY,91,377,1,2.0,Appartement,78.0,4.0,0,0.0,8,2018,3070.8236620285943,3184.591620188441,48.7277896426,2.27513131903
538072,Vente,15000.0,RUE,12260.0,AMBEYRAC,12,7,0,1.0,Maison,45.0,0.0,1,82.0,7,2019,1272.1763712335726,850.9492197068621,44.4943534957,1.9357162857
1096640,Vente,86000.0,RUE,14000.0,CAEN,14,118,1,2.0,Appartement,28.0,1.0,0,0.0,12,2020,2391.3877858426026,2811.792847713387,49.1847936737,-0.369801713036
665299,Vente,136660.0,RUE,34000.0,MONTPELLIER,34,172,1,2.0,Appartement,45.0,2.0,0,0.0,11,2019,2551.8065656586814,2968.4463014020803,43.6134409138,3.86851657896
1360405,Vente,180000.0,RUE,64510.0,BOEIL BEZING,64,133,0,1.0,Maison,89.0,4.0,1,966.0,12,2020,2527.572869805229,1758.017068026006,43.2275428829,-0.25100390075
784523,Vente,135000.0,RUE,58200.0,COSNE-COURS-SUR-LOIRE,58,86,0,1.0,Maison,115.0,5.0,1,371.0,6,2019,913.4265243217716,1042.562241163888,47.4029099422,2.94284103771
150253,Vente,62780.0,IMP,33990.0,HOURTIN,33,203,1,2.0,Appartement,28.0,2.0,0,0.0,12,2018,2977.687078641681,2470.482461830573,45.1807913533,-1.06580080764
277083,Vente,238000.0,IMP,59870.0,VRED,59,629,0,1.0,Maison,118.0,5.0,0,559.0,1,2018,1841.043513312609,1910.0892095684317,50.3939409921,3.23217277359
